GeneSymbol	GeneID	GI
Olfr1228	258973	gi|22128985
Olfr1233	258974	gi|22128987
Olfr1418	258227	gi|58372130
Olfr165	258458	gi|33238892
Olfr503	259143	gi|58372132
Olfr1258	258980	gi|22128973
Olfr514	258721	gi|22129389
Olfr1272	258982	gi|22128969
Olfr1260	258983	gi|22128971
Olfr1387	258465	gi|33238940
Olfr781	258723	gi|33239326
Olfr988	258166	gi|58372140
Olfr784	258724	gi|22129385
Olfr1256	258985	gi|22128965
Olfr566	258168	gi|58372144
Olfr1254	258468	gi|33239032
Olfr599	258726	gi|22129381
Olfr457	258989	gi|22128963
Olfr467	257919	gi|53828690
Olfr889	258475	gi|33239246
Olfr197	258477	gi|33239156
Olfr176	258995	gi|22128949
Olfr202	258997	gi|22128951
Olfr935	258741	gi|22129353
Olfr243	436002	gi|70794774
Olfr689	258745	gi|22129349
Olfr395	259007	gi|22128933
Olfr394	259009	gi|22128929
Olfr583	258752	gi|22129331
Olfr153	110511	gi|45592942
Olfr952	235248	gi|27544959
Olfr1047	259014	gi|22128913
Olfr1532-ps1	258173	gi|58531212
Olfr672	258755	gi|22203787
Olfr1048	259016	gi|22128909
Olfr944	258500	gi|33239220
Olfr959	258501	gi|27544953
Olfr1408	258759	gi|22129319
Olfr98	258503	gi|33239260
Olfr1054	259021	gi|22128901
Olfr1055	259023	gi|22128897
Olfr95	258506	gi|33238910
Olfr1197	433449	gi|61806456
Olfr96	258507	gi|33239320
Olfr385	259025	gi|33239300
Olfr1110	258765	gi|22129313
Olfr380	259027	gi|22128895
Olfr532	259028	gi|49227415
Olfr523	258511	gi|33239354
Olfr530	258512	gi|33238964
Olfr854	258515	gi|33239276
Olfr1122	259033	gi|22128887
Olfr821	258772	gi|22129295
Olfr818	258773	gi|22129297
Olfr1208	258774	gi|22129291
Olfr849	258520	gi|33239268
Olfr283	259038	gi|22128873
Olfr769	257667	gi|22128633
Olfr916	258780	gi|22129285
Olfr1367	258526	gi|33238954
Mrgpra7	404236	gi|46430526
Olfr930	258269	gi|22129743
Olfr1368	258527	gi|33238952
Olfr729	258275	gi|22129731
Olfr1263	258790	gi|22129265
Olfr960	258276	gi|22129725
Olfr812	258791	gi|22129259
Olfr281	258277	gi|22129727
Olfr1499	258792	gi|22129261
Olfr284	258278	gi|22129721
Olfr589	259054	gi|22128851
Olfr155	29845	gi|11276075
Olfr801	258282	gi|22129719
Olfr771	258540	gi|22203779
Vmn1r37	171183	gi|21699044
Vmn1r36	171184	gi|21699040
Olfr786	258542	gi|27544963
Vmn1r35	171185	gi|21699048
Vmn1r38	171186	gi|21717657
Olfr774	258232	gi|46518530
Olfr788	258544	gi|33239344
Vmn1r33	171187	gi|21717667
Olfr811	258545	gi|33239342
Olfr1061	259022	gi|46369477
Vmn1r72	252905	gi|22003894
Olfr1484	258288	gi|22129707
Olfr806	258546	gi|22129533
Olfr136	258803	gi|22129245
Vmn1r17	171189	gi|21717671
Vmn1r189	252906	gi|33238868
Olfr803	258547	gi|22129527
Olfr1324	258289	gi|22129701
Vmn1r26	171190	gi|21717665
Olfr1349	269862	gi|53828668
Vmn1r192	252907	gi|22003902
Olfr449	259067	gi|22128827
Olfr1390	259068	gi|49227395
Vmn1r64	404285	gi|46430541
Olfr446	258292	gi|22129699
Vmn1r6	171193	gi|21717679
Vmn1r179	404286	gi|46430550
Olfr829	259070	gi|22128823
Vmn1r4	171194	gi|21717673
Olfr1212	258241	gi|46369489
Olfr166	259071	gi|22128825
Vmn1r30	171195	gi|21717683
Olfr955	258242	gi|46369485
Vmn1r188	252912	gi|22095333
Olfr665	258810	gi|22129233
Vmn1r22	171196	gi|21717677
Olfr926	258811	gi|22129227
Olfr873	258554	gi|49170044
Vmn1r23	171197	gi|21717687
Olfr594	258246	gi|46369491
Olfr862	258555	gi|22129521
Vmn1r28	171198	gi|21717681
Olfr645	258247	gi|46369495
Olfr192	404309	gi|46430558
Olfr1475	258298	gi|22129687
Vmn1r18	171199	gi|21717691
